,sku,title,productCode,perso_product_type,assets,moreColors,size,massVolume,avgColor,departmentCode,familyCode,divisionCode,price,url,slug,hasStock,hasStockRetail,hasStockOrHasStockRetail,personalize,stock.ecom,stock.retail
0,H102536B 00048,"Osmose ring, large model",B652,,"[{'url': '//assets.hermes.com/is/image/hermesproduct/102536B+00_set?a=a&size=3000,3000&extend=0,0,0,0&align=0,1'}]",False,48,,colorless,B,B03,09,520.0,/product/osmose-ring-large-model-H102536Bv00048,osmose-ring-large-model,True,False,False,False,True,False
1,H243507S 08,Couvertures et Tenues de Jour Bandana shawl 140,S021,,"[{'url': '//assets.hermes.com/is/image/hermesproduct/243507S+08_set?a=a&size=3000,3000&extend=300,300,300,300&align=0,1'}]",False,SANS_TAILLE,,beige / natural,S,S02,04,880.0,/product/couvertures-et-tenues-de-jour-bandana-shawl-140-H243507Sv08,couvertures-et-tenues-de-jour-bandana-shawl-140,True,False,False,False,True,False
2,H003433S 04,Plumes en Fete scarf 90,S011,,"[{'url': '//assets.hermes.com/is/image/hermesproduct/003433S+04_set?a=a&size=3000,3000&extend=300,300,300,300&align=0,1'}]",False,SANS_TAILLE,,red,S,S01,04,345.0,/product/plumes-en-fete-scarf-90-H003433Sv04,plumes-en-fete-scarf-90,True,False,False,False,True,False
3,H201134Z 90355,Amica sandal,Z854,,"[{'url': '//assets.hermes.com/is/image/hermesproduct/201134Z+90_set?a=a&size=3000,3000&extend=0,0,0,0&align=0,1'}]",False,35.5,,white,Z,Z01,02,600.0,/product/amica-sandal-H201134Zv90355,amica-sandal,True,False,False,False,True,False
4,H201158Z 02350,Oran sandal,Z854,,"[{'url': '//assets.hermes.com/is/image/hermesproduct/201158Z+02_set?a=a&size=3000,3000&extend=300,300,300,300&align=0,1'}]",False,35,,black,Z,Z01,02,690.0,/product/oran-sandal-H201158Zv02350,oran-sandal,True,False,False,False,True,False
5,H172196Z 03360,Legend sandal,Z854,,"[{'url': '//assets.hermes.com/is/image/hermesproduct/172196Z+03_set?a=a&size=3000,3000&extend=300,300,300,300&align=0,1'}]",False,36,,beige / natural,Z,Z01,02,680.0,/product/legend-sandal-H172196Zv03360,legend-sandal,True,False,False,False,True,False
6,H201131Z L5350,Amore sandal,Z854,,"[{'url': '//assets.hermes.com/is/image/hermesproduct/201131Z+L5_set?a=a&size=3000,3000&extend=300,300,300,300&align=0,1'}]",False,35,,red,Z,Z01,02,510.0,/product/amore-sandal-H201131ZvL5350,amore-sandal,True,False,False,False,True,False
7,H051300CC18,Kelly classic wallet,A021,,"[{'url': '//assets.hermes.com/is/image/hermesproduct/051300CC18_set?a=a&size=3000,3000&extend=300,300,300,300&align=0,1'}]",False,SANS_TAILLE,,beige / natural,A,A02,01,2800.0,/product/kelly-classic-wallet-H051300CC18,kelly-classic-wallet,True,False,False,False,True,False
8,H079528CC37,O'Maillon pendant,F014,,"[{'url': '//assets.hermes.com/is/image/hermesproduct/079528CC37_set?a=a&size=3000,3000&extend=0,0,0,0&align=0,1'}]",False,SANS_TAILLE,,beige / natural,F,F01,02,230.0,/product/o-maillon-pendant-H079528CC37,o-maillon-pendant,True,False,False,False,True,False
9,H064930CABU,Rodeo MM charm,A024,,"[{'url': '//assets.hermes.com/is/image/hermesproduct/064930CABU_set?a=a&size=3000,3000&extend=300,300,300,300&align=0,1'}]",False,SANS_TAILLE,,purple,A,A02,01,430.0,/product/rodeo-mm-charm-H064930CABU,rodeo-mm-charm,True,False,False,False,True,False
